# SampleName, Year, RunNumber, LumiBlockNumber, EventNumber, MET
TTGJets, 2016, 1, 23350, 3782674, 319
TTWJetsToLNu, 2016, 1, 993, 307703, 481
TTWJetsToLNu, 2016, 1, 2721, 843261, 472
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 5815, 16745413, 300
TTZToLLNuNu_M-10, 2016, 1, 14716, 2880575, 627
TTWJetsToLNu, 2016, 1, 15210, 4714924, 338
DYJetsToLL_M-50_HT-200to400, 2016, 1, 24267, 37807917, 300
TTZToLLNuNu_M-10, 2016, 1, 14419, 2822445, 360
TTWJetsToLNu, 2016, 1, 8821, 2734337, 670
TTGJets, 2016, 1, 37380, 6055438, 384
TTJets_SingleLeptFromTbar_genMET-150, 2016, 1, 502580, 1286602417, 309
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 4809, 13849787, 328
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 15761, 45390752, 351
TTZToLLNuNu_M-10, 2016, 1, 14436, 2825687, 423
TTZToLLNuNu_M-10, 2016, 1, 27019, 5288818, 548
TTZToLLNuNu_M-10, 2016, 1, 29160, 5707965, 389
TTJets_SingleLeptFromTbar_genMET-150, 2016, 1, 176569, 452015807, 320
TTGJets, 2016, 1, 34698, 5621003, 323
TTZToLLNuNu_M-10, 2016, 1, 26984, 5282019, 362
TTWJetsToLNu, 2016, 1, 5434, 1684407, 337
TTZToLLNuNu_M-10, 2016, 1, 14348, 2808442, 320
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 256277, 738076087, 356
TTJets_DiLept_genMET-150, 2016, 1, 71960, 184576564, 347
TTZToLLNuNu_M-10, 2016, 1, 26720, 5230429, 307
TTGJets, 2016, 1, 26296, 4259925, 437
TTWJetsToLNu, 2016, 1, 4278, 1326005, 317
TTZToLLNuNu_M-10, 2016, 1, 13295, 2602332, 406
TTZToLLNuNu_M-10, 2016, 1, 4997, 978112, 339
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 96748, 278633327, 373
TTJets_SingleLeptFromTbar_genMET-150, 2016, 1, 52974, 135611183, 312
TTWJetsToLNu, 2016, 1, 6540, 2027178, 322
TTGJets, 2016, 1, 29247, 4737942, 450
TTZToLLNuNu_M-10, 2016, 1, 13548, 2651928, 414
TTWJetsToLNu, 2016, 1, 14821, 4594202, 506
TTZToLLNuNu_M-10, 2016, 1, 21955, 4297647, 356
TTZToLLNuNu_M-10, 2016, 1, 5700, 1115599, 412
TTZToLLNuNu_M-10, 2016, 1, 5700, 1115643, 369
TTZToLLNuNu_M-10, 2016, 1, 13795, 2700352, 346
TTZToLLNuNu_M-10, 2016, 1, 26439, 5175383, 302
TTZToLLNuNu_M-10, 2016, 1, 29498, 5774195, 311
TTZToLLNuNu_M-10, 2016, 1, 30346, 5940172, 362
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 331582, 954954600, 307
TTJets_SingleLeptFromTbar_genMET-150, 2016, 1, 136530, 349514457, 325
TTZToLLNuNu_M-10, 2016, 1, 25958, 5081134, 355
TTWJetsToLNu, 2016, 1, 3165, 981080, 461
TTWJetsToLNu, 2016, 1, 3483, 1079560, 348
TTWJetsToLNu, 2016, 1, 3633, 1126028, 461
ttHTobb_M125, 2016, 1, 28963, 5792595, 318
TTZToLLNuNu_M-10, 2016, 1, 22105, 4326924, 307
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 145273, 418383728, 323
TTZToLLNuNu_M-10, 2016, 1, 9671, 1893108, 406
