# SampleName, Year, RunNumber, LumiBlockNumber, EventNumber, MET
ZJetsToNuNu_HT-1200To2500, 2017, 1, 231, 2236539, 693
ttHTobb_M125, 2017, 1, 1783, 1725026, 408
ZJetsToNuNu_HT-400To600, 2017, 1, 4662, 40183897, 332
TTZToLLNuNu_M-10, 2017, 1, 5551, 4154222, 383
ZJetsToNuNu_HT-600To800, 2017, 1, 535, 4817467, 492
TTZToLLNuNu_M-10, 2017, 1, 4654, 3482186, 447
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 48065, 318382276, 328
TTZToLLNuNu_M-10, 2017, 1, 5362, 4012084, 356
TTZToLLNuNu_M-10, 2017, 1, 5363, 4013764, 329
ttHTobb_M125, 2017, 1, 2175, 2103874, 306
ttHTobb_M125, 2017, 1, 3273, 3166559, 456
TTZToLLNuNu_M-10, 2017, 1, 5219, 3905140, 439
ttHTobb_M125, 2017, 1, 1975, 1910587, 325
TTZToLLNuNu_M-10, 2017, 1, 10154, 7598877, 341
ttHTobb_M125, 2017, 1, 2370, 2293120, 333
ttHTobb_M125, 2017, 1, 2402, 2323937, 355
ttHTobb_M125, 2017, 1, 6941, 6716530, 325
ttHTobb_M125, 2017, 1, 59, 56988, 303
TTZToLLNuNu_M-10, 2017, 1, 7339, 5491594, 384
ttHTobb_M125, 2017, 1, 860, 831967, 308
ttHTobb_M125, 2017, 1, 164, 158698, 311
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 103410, 680228527, 392
ttHTobb_M125, 2017, 1, 1421, 1374507, 305
TTZToLLNuNu_M-10, 2017, 1, 299, 223628, 572
ttHTobb_M125, 2017, 1, 483, 466752, 391
ttHTobb_M125, 2017, 1, 365, 352453, 355
ttHTobb_M125, 2017, 1, 952, 920779, 316
ttHTobb_M125, 2017, 1, 1739, 1682511, 442
TTZToLLNuNu_M-10, 2017, 1, 805, 602030, 373
TTZToLLNuNu_M-10, 2017, 1, 8163, 6108426, 332
TTZToLLNuNu_M-10, 2017, 1, 952, 712150, 306
ttHTobb_M125, 2017, 1, 5344, 5171190, 373
TTZToLLNuNu_M-10, 2017, 1, 1499, 1122031, 402
TTZToLLNuNu_M-10, 2017, 1, 2014, 1506992, 353
ZJetsToNuNu_HT-400To600, 2017, 1, 6215, 53573114, 336
TTZToLLNuNu_M-10, 2017, 1, 2263, 1692840, 377
TTZToLLNuNu_M-10, 2017, 1, 2113, 1580905, 370
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 69765, 458913158, 312
TTZToLLNuNu_M-10, 2017, 1, 2434, 1820973, 305
ttHTobb_M125, 2017, 1, 8040, 7779738, 357
TTZToLLNuNu_M-10, 2017, 1, 2984, 2232739, 315
ttHTobb_M125, 2017, 1, 8161, 7896925, 350
TTJets_DiLept_genMET-150, 2017, 1, 87028, 524256361, 333
ZJetsToNuNu_HT-400To600, 2017, 1, 6418, 55317840, 396
ttHTobb_M125, 2017, 1, 7862, 7607496, 353
TTZToLLNuNu_M-10, 2017, 1, 4912, 3675413, 345
