#mNLSP mLSP boostEff resEff totalEff   bin1Eff   bin2Eff   bin3Eff   bin4Eff   bin5Eff   bin6Eff   bin7Eff   bin8Eff   bin9Eff  bin10Eff  bin11Eff  bin12Eff  bin13Eff  bin14Eff  bin15Eff  bin16Eff  bin17Eff  bin18Eff  bin19Eff  bin20Eff  bin21Eff  bin22Eff
400 250 0.0001357 0.0031469 0.0032826 0.0000753 0.0000358 0.0000103 0.0000000 0.0001879 0.0001574 0.0000294 0.0000089 0.0005203 0.0003610 0.0000653 0.0000138 0.0008879 0.0006895 0.0000874 0.0000166 0.0000852 0.0000235 0.0000022 0.0000248 0.0000000 0.0000000
400 275 0.0000436 0.0008572 0.0009008 0.0000123 0.0000039 0.0000000 0.0000051 0.0000436 0.0000347 0.0000130 0.0000026 0.0001220 0.0000704 0.0000024 0.0000000 0.0002098 0.0002235 0.0000477 0.0000661 0.0000224 0.0000000 0.0000000 0.0000156 0.0000000 0.0000056
400 50 0.0026934 0.0376591 0.0403525 0.0007357 0.0018460 0.0006276 0.0002288 0.0022593 0.0047283 0.0020441 0.0004423 0.0010372 0.0036393 0.0022130 0.0004779 0.0024365 0.0084617 0.0052149 0.0012666 0.0006624 0.0000815 0.0000332 0.0016563 0.0002473 0.0000126
425 250 0.0001320 0.0085254 0.0086574 0.0001881 0.0001557 0.0000466 0.0000056 0.0006127 0.0005536 0.0000592 0.0000246 0.0010265 0.0009536 0.0001339 0.0000242 0.0023534 0.0020296 0.0002429 0.0001153 0.0000645 0.0000025 0.0000144 0.0000489 0.0000018 0.0000000
425 275 0.0001143 0.0031355 0.0032498 0.0000446 0.0000468 0.0000185 0.0000030 0.0002471 0.0001264 0.0000163 0.0000141 0.0004748 0.0003268 0.0000268 0.0000161 0.0009552 0.0006766 0.0000930 0.0000495 0.0000681 0.0000128 0.0000000 0.0000315 0.0000020 0.0000000
425 300 0.0000419 0.0008573 0.0008992 0.0000136 0.0000137 0.0000029 0.0000000 0.0000447 0.0000231 0.0000302 0.0000286 0.0000954 0.0001210 0.0000127 0.0000122 0.0001987 0.0001611 0.0000709 0.0000284 0.0000283 0.0000000 0.0000000 0.0000108 0.0000028 0.0000000
450 100 0.0045243 0.0447666 0.0492909 0.0007223 0.0021691 0.0011121 0.0003023 0.0021797 0.0059368 0.0036444 0.0007230 0.0009590 0.0035588 0.0030590 0.0010101 0.0021569 0.0081240 0.0069569 0.0021522 0.0010146 0.0001478 0.0000232 0.0029764 0.0003144 0.0000478
450 150 0.0026292 0.0391103 0.0417395 0.0006892 0.0016242 0.0007446 0.0001657 0.0020768 0.0052450 0.0022317 0.0004135 0.0009633 0.0039249 0.0025112 0.0005924 0.0024023 0.0087619 0.0055182 0.0012454 0.0005977 0.0000827 0.0000339 0.0017257 0.0001708 0.0000184
450 200 0.0013092 0.0298902 0.0311995 0.0005636 0.0011666 0.0003021 0.0000975 0.0019497 0.0036469 0.0008913 0.0002026 0.0012377 0.0038121 0.0015209 0.0002287 0.0027871 0.0079353 0.0029013 0.0006467 0.0004135 0.0000503 0.0000196 0.0007584 0.0000635 0.0000039
450 250 0.0003044 0.0169435 0.0172480 0.0003791 0.0005090 0.0000640 0.0000114 0.0013013 0.0013923 0.0002082 0.0000414 0.0015762 0.0022375 0.0003729 0.0001068 0.0031007 0.0044602 0.0009480 0.0002348 0.0001091 0.0000059 0.0000084 0.0001742 0.0000068 0.0000000
