# SampleName, Year, RunNumber, LumiBlockNumber, EventNumber, MET
WJetsToLNu_HT-800To1200, 2016, 1, 53833, 92726221, 549
TTZToLLNuNu_M-10, 2016, 1, 31051, 5371801, 649
TTZToLLNuNu_M-10, 2016, 1, 7252, 1419540, 322
TTJets_DiLept_genMET-150, 2016, 1, 141465, 362856460, 303
TTZToLLNuNu_M-10, 2016, 1, 22039, 4313962, 494
TTZToLLNuNu_M-10, 2016, 1, 8280, 1620668, 342
TTZToLLNuNu_M-10, 2016, 1, 24060, 4709727, 353
WJetsToLNu_HT-600To800, 2016, 1, 87043, 194758630, 326
TTZToLLNuNu_M-10, 2016, 1, 18233, 3568946, 388
TTJets_DiLept_genMET-150, 2016, 1, 199324, 511264650, 317
ZJetsToNuNu_HT-400To600, 2016, 1, 53465, 108212658, 530
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 329708, 949556228, 531
TTJets_DiLept_genMET-150, 2016, 1, 243081, 623501375, 315
TTZToLLNuNu_M-10, 2016, 1, 22073, 4320762, 464
TTJets_DiLept_genMET-150, 2016, 1, 150397, 385766343, 333
TTZToLLNuNu_M-10, 2016, 1, 27925, 5466300, 355
TTZToLLNuNu_M-10, 2016, 1, 3930, 769218, 400
WJetsToLNu_HT-600To800, 2016, 1, 22989, 51437349, 305
TTZToLLNuNu_M-10, 2016, 1, 20151, 3944393, 301
TTZToLLNuNu_M-10, 2016, 1, 688, 134516, 442
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 211426, 608905249, 309
TTZToLLNuNu_M-10, 2016, 1, 29084, 5693144, 314
TTZToLLNuNu_M-10, 2016, 1, 26573, 5201644, 347
TTZToLLNuNu_M-10, 2016, 1, 8131, 1591616, 599
TTZToLLNuNu_M-10, 2016, 1, 12504, 2447549, 324
TTJets_DiLept_genMET-150, 2016, 1, 215754, 553407951, 314
ZJetsToNuNu_HT-400To600, 2016, 1, 31797, 64355408, 329
TTZToLLNuNu_M-10, 2016, 1, 353, 69027, 311
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 296924, 855140743, 381
TTZToLLNuNu_M-10, 2016, 1, 16593, 3248072, 330
TTZToLLNuNu_M-10, 2016, 1, 16715, 3271912, 325
ZJetsToNuNu_HT-400To600, 2016, 1, 27061, 54770107, 468
TTZToLLNuNu_M-10, 2016, 1, 19350, 3787735, 407
ZJetsToNuNu_HT-400To600, 2016, 1, 6850, 13863392, 361
TTZToLLNuNu_M-10, 2016, 1, 5240, 906449, 372
TTZToLLNuNu_M-10, 2016, 1, 12080, 2089806, 496
TTZToLLNuNu_M-10, 2016, 1, 9107, 1575457, 361
TTZToLLNuNu_M-10, 2016, 1, 8657, 1497621, 628
TTZToLLNuNu_M-10, 2016, 1, 9560, 1653760, 578
TTZToLLNuNu_M-10, 2016, 1, 20282, 3508642, 311
TTZToLLNuNu_M-10, 2016, 1, 22040, 3812906, 345
TTJets_SingleLeptFromTbar_genMET-150, 2016, 1, 9666, 24744510, 313
TTZToLLNuNu_M-10, 2016, 1, 25132, 4347683, 364
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 12977, 37373141, 405
TTZToLLNuNu_M-10, 2016, 1, 30267, 5236089, 335
TTZToLLNuNu_M-10, 2016, 1, 6451, 1115918, 486
TTZToLLNuNu_M-10, 2016, 1, 14596, 2525095, 305
TTZToLLNuNu_M-10, 2016, 1, 4769, 824947, 309
TTZToLLNuNu_M-10, 2016, 1, 9211, 1593401, 398
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 321503, 925926048, 324
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 64036, 184421584, 348
TTZToLLNuNu_M-10, 2016, 1, 6491, 1122847, 362
TTZToLLNuNu_M-10, 2016, 1, 20643, 3571195, 686
TTZToLLNuNu_M-10, 2016, 1, 6779, 1172815, 316
TTJets_SingleLeptFromTbar_genMET-150, 2016, 1, 216877, 555204225, 361
TTZToLLNuNu_M-10, 2016, 1, 4013, 694179, 301
TTZToLLNuNu_M-10, 2016, 1, 739, 127811, 323
TTZToLLNuNu_M-10, 2016, 1, 2046, 353884, 522
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 240315, 692105546, 442
TTZToLLNuNu_M-10, 2016, 1, 1985, 343308, 314
TTZToLLNuNu_M-10, 2016, 1, 9419, 1629497, 773
TTZToLLNuNu_M-10, 2016, 1, 7846, 1357255, 417
TTZToLLNuNu_M-10, 2016, 1, 17940, 3103523, 337
TTZToLLNuNu_M-10, 2016, 1, 24022, 4155742, 345
ZJetsToNuNu_HT-400To600, 2016, 1, 42327, 85667867, 316
TTZToLLNuNu_M-10, 2016, 1, 7002, 1211240, 422
TTZToLLNuNu_M-10, 2016, 1, 32626, 5644180, 369
ZJetsToNuNu_HT-400To600, 2016, 1, 58757, 118924664, 392
ZJetsToNuNu_HT-400To600, 2016, 1, 23851, 48273648, 319
TTZToLLNuNu_M-10, 2016, 1, 1433, 280417, 423
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 204804, 589834288, 347
TTJets_SingleLeptFromTbar_genMET-150, 2016, 1, 161392, 413161268, 528
TTZToLLNuNu_M-10, 2016, 1, 4260, 833883, 309
TTZToLLNuNu_M-10, 2016, 1, 2175, 425730, 442
ZJetsToNuNu_HT-600To800, 2016, 1, 13626, 22709304, 405
TTZToLLNuNu_M-10, 2016, 1, 17394, 3404879, 458
TTZToLLNuNu_M-10, 2016, 1, 13347, 2612649, 386
TTZToLLNuNu_M-10, 2016, 1, 14637, 2865102, 442
ZJetsToNuNu_HT-400To600, 2016, 1, 2675, 3851387, 500
ST_tW_top_5f_NoFullyHadronicDecays, 2016, 1, 5203, 1458131, 317
TTZToLLNuNu_M-10, 2016, 1, 1099, 215061, 376
WJetsToLNu_HT-600To800, 2016, 1, 70357, 157422855, 388
TTZToLLNuNu_M-10, 2016, 1, 6705, 1312401, 508
TTJets_SingleLeptFromTbar_genMET-150, 2016, 1, 385018, 985643945, 310
TTZToLLNuNu_M-10, 2016, 1, 13609, 2663920, 359
TTZToLLNuNu_M-10, 2016, 1, 12164, 2381012, 340
TTZToLLNuNu_M-10, 2016, 1, 16122, 3155744, 367
TTZToLLNuNu_M-10, 2016, 1, 76, 14284, 302
TTZToLLNuNu_M-10, 2016, 1, 6176, 1167099, 300
TTZToLLNuNu_M-10, 2016, 1, 701, 132496, 441
