# SampleName, Year, RunNumber, LumiBlockNumber, EventNumber, MET
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 131673, 866144844, 343
TTZToLLNuNu_M-10, 2017, 1, 5378, 4024194, 314
TTZToLLNuNu_M-10, 2017, 1, 5383, 4028313, 321
TTZToLLNuNu_M-10, 2017, 1, 5384, 4029262, 361
TTWJetsToQQ, 2017, 1, 700, 931984, 307
TTZToLLNuNu_M-10, 2017, 1, 1936, 1448314, 341
ttHTobb_M125, 2017, 1, 6909, 6685167, 317
TTGJets, 2017, 1, 1689, 2857763, 300
TTZToQQ, 2017, 1, 8796, 9797780, 324
TTWJetsToLNu, 2017, 1, 577, 649654, 340
TTTT, 2017, 1, 343, 222217, 316
TTZToLLNuNu_M-10, 2017, 1, 1963, 1468456, 314
TTZToLLNuNu_M-10, 2017, 1, 1963, 1468462, 332
TTZToLLNuNu_M-10, 2017, 1, 1963, 1468718, 338
TTWJetsToLNu, 2017, 1, 1955, 2204082, 402
TTZToLLNuNu_M-10, 2017, 1, 1964, 1469348, 327
TTJets_DiLept_genMET-150, 2017, 1, 46046, 277377459, 330
TTZToLLNuNu_M-10, 2017, 1, 1969, 1473715, 412
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 11210, 74250182, 316
TTZToQQ, 2017, 1, 3275, 3271093, 312
TTWJetsToLNu, 2017, 1, 565, 636669, 352
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 159610, 1057250706, 318
TTZToLLNuNu_M-10, 2017, 1, 1960, 1466392, 329
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 159692, 1057795130, 335
TTZToLLNuNu_M-10, 2017, 1, 1961, 1467765, 404
TTZToLLNuNu_M-10, 2017, 1, 2240, 1676274, 326
TTGJets, 2017, 1, 4692, 7937179, 336
TTZToLLNuNu_M-10, 2017, 1, 2240, 1676701, 322
TTGJets, 2017, 1, 4898, 8286691, 321
TTWJetsToLNu, 2017, 1, 1543, 1739835, 326
TTZToLLNuNu_M-10, 2017, 1, 2008, 1502583, 318
TTZToLLNuNu_M-10, 2017, 1, 2080, 1556344, 336
TTZToLLNuNu_M-10, 2017, 1, 2081, 1557104, 311
TTZToLLNuNu_M-10, 2017, 1, 2006, 1501316, 325
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 47240, 310741971, 332
TTZToLLNuNu_M-10, 2017, 1, 2060, 1541595, 370
TTZToLLNuNu_M-10, 2017, 1, 2558, 1914203, 387
TTZToQQ, 2017, 1, 6927, 8165636, 318
TTZToLLNuNu_M-10, 2017, 1, 2428, 1816475, 328
TTZToLLNuNu_M-10, 2017, 1, 2428, 1817032, 481
TTWJetsToLNu, 2017, 1, 1067, 1203118, 330
TTWJetsToLNu, 2017, 1, 1718, 1937051, 302
TTZToLLNuNu_M-10, 2017, 1, 2488, 1861848, 370
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 39053, 256888921, 308
TTWJetsToLNu, 2017, 1, 1070, 1207364, 330
TTZToLLNuNu_M-10, 2017, 1, 2465, 1844696, 301
TTWJetsToLNu, 2017, 1, 1112, 1254773, 445
TTZToLLNuNu_M-10, 2017, 1, 2476, 1852730, 338
TTZToLLNuNu_M-10, 2017, 1, 2477, 1853766, 355
ttHTobb_M125, 2017, 1, 3234, 3128791, 413
TTZToLLNuNu_M-10, 2017, 1, 2501, 1871953, 301
TTZToLLNuNu_M-10, 2017, 1, 2497, 1867986, 373
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 27168, 178706293, 310
TTWJetsToLNu, 2017, 1, 3167, 3571156, 328
TTZToLLNuNu_M-10, 2017, 1, 2504, 1873419, 359
TTZToLLNuNu_M-10, 2017, 1, 2504, 1873402, 317
TTZToLLNuNu_M-10, 2017, 1, 2509, 1877540, 371
TTZToLLNuNu_M-10, 2017, 1, 2509, 1877788, 338
TTZToLLNuNu_M-10, 2017, 1, 2507, 1875842, 307
TTZToLLNuNu_M-10, 2017, 1, 2507, 1876290, 619
ttHTobb_M125, 2017, 1, 7340, 7101839, 340
TTZToLLNuNu_M-10, 2017, 1, 2534, 1896228, 333
TTZToLLNuNu_M-10, 2017, 1, 2534, 1896524, 464
TTZToLLNuNu_M-10, 2017, 1, 2990, 2237535, 435
TTZToLLNuNu_M-10, 2017, 1, 3022, 2261625, 422
TTZToLLNuNu_M-10, 2017, 1, 3023, 2262597, 407
TTZToLLNuNu_M-10, 2017, 1, 3245, 2427992, 410
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 3899, 25825468, 306
TTZToLLNuNu_M-10, 2017, 1, 4246, 3176888, 519
TTZToLLNuNu_M-10, 2017, 1, 4246, 3177195, 410
